# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Asperholen barnehage", "Sandnes kommune", "1012896"
"Austrått barnehage", "Sandnes kommune", "1012889"
"Bogafjell Åpne barnehage", "Bogafjell Sokn", "1014080"
"Brueland barnehage", "Sandnes kommune", "1012898"
"Buggeland barnehage Sa", "Buggeland barnehage Sa", "1021148"
"Eikenøtta Naturbarnehage AS", "Eikenøtta Naturbarnehage AS", "1021319"
"Engleongane barnehage AS", "Engleongane barnehage AS", "1021642"
"Espira Krystallveien barnehage", "Espira Krystallveien AS", "1021789"
"Espira Taremareby barnehage", "Espira Taremareby AS", "1020193"
"Espira Vagletjørn barnehage", "Espira Vagletjørn AS", "1021444"
"Figgjo barnehage", "Sandnes kommune", "1015533"
"Ganddal barnehage", "Sandnes kommune", "1025377"
"Gravarslia barnehage", "Sandnes kommune", "1025367"
"Hans og Grete barnehage Sa", "Hans og Grete barnehage Sa", "1020006"
"Hommersåk barnehage", "Sandnes kommune", "1012888"
"Høle barnehage", "Sandnes kommune", "1012897"
"Håbafjell Idrettsbarnehage", "Håbafjell Idrettsbarnehage Sa", "1020561"
"Håbet Fus barnehage", "Håbet Fus Friluftsbarnehage AS", "1020129"
"Håholen barnehage", "Håholen barnehage", "1019813"
"Iglemyr Fus barnehage", "Iglemyr Fus barnehage AS", "1021360"
"Jønningheia barnehage", "Sandnes kommune", "1012890"
"Kleivane barnehage", "Sandnes kommune", "2000148"
"Kreativ barnehage Bogafjell", "Kreativ barnehage AS", "1021195"
"Kreativ barnehage Hove", "Kreativ barnehage AS", "1026202"
"Langgata barnehage", "Sandnes kommune", "1026602"
"Lekeland barnehage", "Pinsemenigheten Betel", "1017001"
"Lundegård barnehage Sa", "Lundegård barnehage Sa", "1020858"
"Lundehagen Fus barnehage", "Lundehagen Fus barnehage AS", "1021359"
"Læringsverkstedet barnehage Avd Vatnekrossen barnehage", "Læringsverkstedet AS", "1021367"
"Læringsverkstedet barnehage Avd Bratteborg barnehage", "Læringsverkstedet AS", "1021958"
"Maudland Fus barnehage AS Avd Maudlandsveien", "Maudland Fus barnehage AS", "1020350"
"Maudland Fus barnehage AS Avd Riskatun", "Maudland Fus barnehage AS", "1026524"
"Myklaberget barnehage", "Sandnes kommune", "1016068"
"Nlm Barnehagene AS Avd Lube barnehage", "Nlm-Barnehagene AS", "1017868"
"Ormaskogen barnehage", "Ormaskogen barnehage Sa", "1020914"
"Osa Gårdsbarnehage AS", "Osa Gårdsbarnehage AS", "1021592"
"Porsholen barnehage", "Sandnes kommune", "1012895"
"Riska barnehage", "Sandnes kommune", "1012891"
"Rissebærstraen barnehage", "Sandnes kommune", "1015603"
"Røyrvik Gårdsbarnehage AS", "Røyrvik Gårdsbarnehage AS", "1021690"
"Rådhusmarka barnehage", "Sandnes kommune", "1018477"
"Sandtoppen Naturbarnehage AS", "Sandtoppen Naturbarnehage AS", "1021539"
"Sandved barnehage", "Sandnes kommune", "1012892"
"Sandvedhaugen barnehage", "Sandnes kommune", "1018476"
"Skaarlia barnehage Sa", "Skaarlia barnehage Sa", "1020731"
"Smeaheia barnehage", "Sandnes kommune", "1016307"
"Stangeland barnehage", "Sandnes kommune", "1012893"
"Stangelandsforen barnehage", "Sandnes kommune", "1015742"
"Strutsen Et Pedagogisk Barnesenter AS", "Strutsen Et Pedagogisk Barnesenter AS", "1009241"
"Svanholmen Kanvas-Barnehage", "Stiftelsen Kanvas", "1016069"
"Sviland Fus barnehage AS", "Sviland Fus barnehage AS", "1021740"
"Sørbø barnehage", "Sandnes kommune", "1025445"
"Trollhaugen Foreldrelagsbarnehage Sa", "Trollhaugen Foreldrelagsbarnehage Sa", "1021003"
"Trones barnehage", "Sandnes kommune", "1016067"
"Utsikten Vest Fus barnehage AS", "Utsikten Vest Fus barnehage AS", "1021177"
"Varatun barnehage", "Sandnes kommune", "1025372"
"Vatne barnehage", "Sandnes kommune", "1012894"
"Øygard barnehage", "Sandnes kommune", "1016439"
